Date,Category,Amount,Description
2025-09-15,Entertainment,12.14,Museum
2025-09-15,Healthcare,14.1,Medicine
2025-09-17,Bills,31.56,HOA fee
2025-09-17,Other,7.47,Hobby materials
2025-09-18,Food,2.08,Restaurant meal
2025-09-19,Shopping,25.91,Bedding
2025-09-19,Education,20.65,Certification
2025-09-19,Food,8.02,Grocery shopping
2025-09-20,Shopping,8.69,Kitchenware
2025-09-20,Food,9.52,Food delivery
2025-09-22,Transportation,6.3,Parking fee
2025-09-22,Education,28.21,Certification
2025-09-23,Healthcare,16.71,Doctor visit
2025-09-24,Other,5.68,Gift
2025-09-24,Other,17.18,Subscription
2025-09-25,Shopping,6.94,Tools
2025-09-25,Healthcare,4.26,Health insurance
2025-09-25,Bills,28.38,Rent
2025-09-25,Food,3.56,Market shopping
2025-09-25,Healthcare,11.88,Physical therapy
2025-09-26,Transportation,8.66,Car wash
2025-09-26,Healthcare,19.39,Lab tests
2025-09-26,Entertainment,8.69,Bowling
2025-09-27,Entertainment,8.73,Museum
2025-09-27,Healthcare,15.69,Pharmacy
2025-09-28,Food,13.1,Market shopping
2025-09-29,Shopping,21.93,Home items
2025-09-29,Education,5.19,Online course
2025-09-29,Other,15.6,Donation
2025-09-30,Other,2.82,Hobby materials
2025-09-30,Education,29.13,Study materials
2025-09-30,Other,11.61,Subscription
2025-09-30,Bills,26.92,Electricity
2025-10-01,Bills,16.48,Phone bill
2025-10-01,Other,12.6,Miscellaneous
2025-10-01,Education,26.33,Online course
2025-10-02,Food,10.76,Street food
2025-10-02,Entertainment,6.16,Music subscription
2025-10-02,Food,12.13,Bakery items
2025-10-03,Education,22.33,Seminar
2025-10-03,Other,5.6,Pet supplies
2025-10-04,Other,4.01,Donation
2025-10-04,Food,4.21,Food delivery
2025-10-05,Entertainment,12.46,Movie tickets
2025-10-05,Shopping,16.66,Electronics
2025-10-05,Bills,59.83,Cable TV
2025-10-05,Shopping,4.74,Electronics
2025-10-06,Other,4.94,Hobby materials
2025-10-06,Education,19.04,Training
2025-10-06,Healthcare,21.09,Physical therapy
2025-10-06,Food,9.8,Food delivery
2025-10-07,Healthcare,19.63,Pharmacy
2025-10-07,Entertainment,13.08,Sports event
2025-10-08,Other,16.39,Donation
2025-10-09,Transportation,10.93,Vehicle maintenance
2025-10-09,Transportation,7.56,Car wash
2025-10-09,Healthcare,3.16,Health insurance
2025-10-09,Transportation,4.0,Ride share
2025-10-10,Education,23.67,Tuition
2025-10-10,Entertainment,3.21,Concert
2025-10-11,Healthcare,21.68,Dental checkup
2025-10-11,Transportation,3.28,Bus fare
2025-10-11,Shopping,5.95,Furniture
2025-10-11,Transportation,3.81,Parking fee
2025-10-11,Food,16.22,Seafood
2025-10-11,Education,25.33,Online course
2025-10-12,Other,16.19,Subscription
2025-10-12,Other,10.4,Hobby materials
2025-10-12,Education,4.88,Books
2025-10-12,Shopping,20.16,Decorations
2025-10-13,Entertainment,4.18,Music subscription
2025-10-13,Entertainment,11.89,Streaming service
2025-10-15,Healthcare,9.95,Health insurance
2025-10-17,Other,5.67,Subscription
2025-10-17,Education,27.56,Books
2025-10-18,Transportation,4.78,Metro card
2025-10-18,Transportation,2.11,Ride share
2025-10-18,Other,4.47,Membership
2025-10-18,Bills,15.31,Internet
2025-10-18,Food,2.07,Food delivery
2025-10-18,Other,19.71,Hobby materials
2025-10-19,Education,5.09,Books
2025-10-19,Healthcare,5.25,Doctor visit
2025-10-19,Education,4.9,Workshop
2025-10-21,Education,5.15,Supplies
2025-10-21,Food,4.76,Food delivery
2025-10-22,Education,11.25,Software license
2025-10-22,Other,10.62,Miscellaneous
2025-10-23,Entertainment,9.06,Arcade
2025-10-23,Shopping,23.66,Home items
2025-10-23,Shopping,29.43,Decorations
2025-10-23,Transportation,7.84,Ride share
2025-10-24,Entertainment,3.59,Arcade
2025-10-25,Bills,39.22,Water bill
2025-10-25,Entertainment,6.35,Museum
2025-10-25,Shopping,21.7,Tools
2025-10-26,Other,4.08,Hobby materials
2025-10-27,Entertainment,12.0,Arcade
2025-10-28,Healthcare,9.3,First aid
2025-10-28,Healthcare,14.74,Doctor visit
2025-10-29,Transportation,11.39,Taxi ride
2025-10-29,Transportation,3.97,Toll road
2025-10-30,Education,25.03,Software license
2025-10-30,Bills,59.0,Internet
2025-10-30,Other,5.72,Hobby materials
2025-10-31,Other,19.33,Repair
